index,World,OECD Total,Non-OECD Total,Canada,Chile,Colombia,Mexico,United States,OECD Americas,Australia,Israel,Japan,Korea,New Zealand,OECD Asia Oceania,Denmark,Estonia,France,Germany,Italy,Netherlands,Norway,Poland,Slovenia,Sweden,United Kingdom,OECD Europe,Azerbaijan,Kazakhstan,Romania,Russian Federation,Turkmenistan,Ukraine,Uzbekistan,Non-OECD Europe and Eurasia,Algeria,Angola,Benin,Botswana,Cameroon,Congo,Côte d'Ivoire,Dem. Rep. of Congo,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Ghana,Kenya,Libya,Madagascar,Morocco,Mozambique,Namibia,Niger,Nigeria,Senegal,South Africa,South Sudan,Sudan,United Rep. of Tanzania,Togo,Tunisia,Uganda,Africa,Bangladesh,Brunei Darussalam,India,Indonesia,Malaysia,Pakistan,Philippines,Thailand,Viet Nam,Asia (excl. China),People's Rep. of China,"China (incl. Hong Kong, China)",Argentina,Bolivia,Brazil,Cuba,Ecuador,Guyana,Paraguay,Peru,Trinidad and Tobago,Uruguay,Venezuela,Non-OECD Americas,Bahrain,Islamic Rep. of Iran,Iraq,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syrian Arab Republic ,United Arab Emirates,Yemen,Middle East,European Union - 27,G7,G8,Americas
1971,16732.86328125,9917.119,6287.045,368.92847,22.125713,33.569645,119.93537,4609.2676,5155.172,152.92249,13.8925085,765.6677,68.20333,13.8060875,1014.4921,55.955803,,433.4924,993.8555,292.8775,128.81776,23.495872,347.44876,,83.107185,632.7137,3747.4548,,,127.04215,,,,,2741.552,47.59577,8.677679,0.7152867,0.32044533,2.927424,1.0587656,3.315555,7.2268853,29.844372,,,9.52115,4.301088,3.6005125,5.9681916,121.76433,1.5781789,7.1652255,7.3814645,,0.89996874,84.58523,1.6255046,175.44545,,4.9589353,4.3959117,0.6543892,5.7905664,4.161652,588.4924,7.879309,9.339026,255.08467,66.57828,28.997381,27.370165,30.130022,18.840235,24.022202,627.306,1027.0583,1036.3429,99.8839,11.317508,120.74594,21.306652,4.845992,1.5825609,1.4305675,22.736767,11.667143,5.3839054,400.3322,749.4628,9.412013,207.98628,44.86053,1.3688215,76.83588,4.7438645,16.074621,14.430468,90.74169,29.08991,47.11561,1.2292228,543.8889,,8096.803,,5904.635
1972,17450.875,10345.248,6550.178,388.48477,21.743752,33.89209,133.40146,4853.3364,5432.359,159.54173,14.563878,802.2344,69.78357,15.8268,1061.9503,58.00208,,448.8638,1017.5245,310.17966,143.71997,24.961388,360.79312,,83.224686,614.7558,3850.9392,,,130.4843,,,,,2872.8318,59.54107,10.51664,0.8201014,0.3700975,3.0067003,1.4764543,3.6005912,7.4212694,31.405182,,,9.641663,4.6473036,3.7786503,6.207922,102.00964,1.6214573,7.8402696,7.0730762,,0.9360354,100.03656,1.6646978,181.46632,,5.1881275,4.7419424,0.6785693,6.456089,4.204256,609.9936,8.084361,8.64517,263.8756,75.28716,17.033136,27.852484,31.054243,21.09324,23.44859,643.7938,1087.2917,1096.9072,102.84965,12.245043,128.01556,20.695541,6.486279,1.6040039,1.5040451,22.50829,12.466422,5.833874,369.0695,734.3695,9.04271,226.6358,46.1224,1.5222294,78.919975,5.1554947,15.650012,15.4189415,107.61447,31.602362,53.115135,1.4828701,592.2824,,8435.379,,6166.728
1973,18406.41796875,10883.118,6938.7065,408.03134,21.039705,35.064396,145.35616,5014.9326,5626.134,169.59448,15.795848,911.1719,84.84731,17.062296,1198.4718,56.876427,,484.8461,1068.2781,331.88107,149.68385,24.752588,375.03174,,84.75779,648.46826,4058.513,,,141.10834,,,,,3041.729,64.58567,11.297536,0.83796006,0.442296,3.0830688,2.4515338,3.690234,7.532862,29.225834,,,9.960371,8.085442,3.9442215,6.441782,91.6702,1.5795143,8.975546,7.185076,,0.9982764,114.66176,1.7973465,198.15627,,6.370267,4.886039,0.6315783,6.7892566,4.156362,645.29034,8.81479,8.317507,265.02313,85.93261,18.463186,29.348265,34.240463,23.709963,25.649073,674.414,1127.1229,1136.8096,106.28127,13.659205,144.38396,22.19765,10.036976,1.847682,1.5964328,23.173218,13.517959,5.4663086,391.77982,788.15155,9.480933,256.36597,53.66578,1.744064,70.1023,6.572641,15.460456,17.382103,127.42886,30.659485,61.550114,1.8993788,652.3121,,8867.609,,6414.285
1974,18359.74609375,10663.163,7144.955,416.21878,20.716553,37.167225,158.01772,4849.434,5483.212,184.16364,15.966622,898.3803,90.090004,17.826553,1206.4271,50.588524,,466.44174,1042.0447,335.52872,141.3101,24.122103,388.88806,,77.61419,610.76794,3973.5234,,,141.69107,,,,,3192.0525,66.444916,12.086651,0.85894257,0.6408041,3.131185,2.7417402,3.8222659,7.738917,32.022663,,,10.207551,9.353345,4.0364943,6.5093336,66.90611,1.5908818,9.734471,7.0863314,,1.0205917,128.28183,1.8911637,206.04277,,6.130897,4.8316493,0.60230887,7.714039,4.183234,651.79,9.411645,7.748513,283.54102,91.5102,21.585566,30.848282,33.203194,23.738453,22.940485,704.0459,1150.2578,1161.3229,107.26677,13.206395,153.8466,24.075914,9.920726,1.6368706,1.5741725,24.233963,13.839897,5.2691364,344.8521,752.3487,9.712972,270.47586,56.362534,1.8543084,56.845383,6.686473,15.275733,16.811335,143.20294,36.70755,67.58002,1.879929,683.395,,8618.816,,6235.561
1975,18388.767578125,10335.307,7532.7163,406.84158,18.070196,34.72718,166.32469,4656.2485,5284.035,192.3568,16.556437,861.29205,97.89317,16.8853,1184.9838,53.29675,,432.7506,988.80225,321.13858,133.1635,24.85621,404.97708,,80.183365,592.5716,3866.2876,,,152.4697,,,,,3402.887,70.52944,12.101117,0.9095915,0.75546396,3.4089124,2.6210246,4.088106,7.817347,35.827206,,,10.276877,10.953126,4.217433,6.5125217,58.028545,1.690925,10.301729,6.8376665,,1.0811291,124.91776,2.035172,224.83504,,5.1070347,4.851917,0.65517855,8.218165,4.198535,669.77924,10.063224,7.0437346,300.12244,94.38836,23.874285,33.362125,36.096638,26.169502,26.082516,742.54126,1316.2169,1327.1725,104.90963,12.686918,160.77039,24.73858,10.4356365,1.9180105,1.619,24.534935,14.096455,5.5774384,272.57242,684.622,8.949604,269.86072,63.938152,2.180547,47.08336,5.89756,15.753579,18.639122,146.94092,50.871864,73.81229,1.7864124,705.7141,,8259.6455,,5968.657
1976,19403.853515625,10904.871,7967.144,417.57574,18.887934,36.513573,177.7416,4922.5728,5575.1816,194.6994,16.632257,888.30237,105.48549,18.719667,1223.8392,59.01884,,472.752,1045.0919,346.33154,142.02684,26.728714,430.92828,,87.06593,599.51,4105.8506,,,166.02312,,,,,3537.1858,86.13945,10.51201,0.73323107,1.0200305,3.3812008,3.0157075,4.574784,8.646545,40.462063,,,10.512701,11.75149,4.31383,7.0921297,75.787445,1.656661,11.255245,6.866543,,1.1182649,145.49431,2.1068132,239.89255,,5.1271386,4.9513235,0.6146361,7.7816772,4.530828,748.0106,10.515718,6.9328103,317.11176,104.05712,27.311329,32.798084,36.081554,29.100151,21.094543,787.34863,1363.8086,1376.4801,109.95593,14.599782,173.7425,25.69631,12.007003,1.9442922,1.7145244,25.660305,15.077131,5.674418,268.2721,704.90594,10.546455,307.5927,76.57276,2.6764884,48.708427,5.434931,17.720982,17.610588,182.99309,54.386757,86.74815,2.221699,813.2131,,8692.137,,6280.088
1977,20004.623046875,11148.657,8308.301,430.34775,19.683645,37.584515,185.57779,5091.236,5766.804,209.89882,17.537928,913.3299,118.80602,19.342304,1278.9149,60.862362,,458.50177,1029.3623,336.8408,139.81679,28.28244,445.22037,,84.12292,612.46063,4102.9385,,,173.71469,,,,,3633.7803,93.87149,12.710653,0.7978388,1.143691,3.8893998,2.4640071,4.54545,8.865129,43.71727,,,10.673545,11.6744585,4.5241423,7.3760405,80.45507,1.7079468,12.32944,6.684472,,1.1746294,148.08917,2.2534192,241.91579,,5.390625,5.0912514,0.6967952,9.631753,4.5826097,774.16724,10.808385,6.3326964,323.76166,122.859,25.873344,34.553318,39.152313,31.65803,22.430912,833.36346,1521.4888,1536.1259,115.86091,13.87449,176.66092,28.068901,13.264665,1.9604942,2.0731788,25.33371,16.33445,5.587873,266.0765,718.93054,12.067785,306.30515,69.70359,2.8343356,45.898495,4.7885423,17.60063,15.977477,194.67392,52.106544,87.73721,2.2398658,811.93353,,8872.079,,6485.735
1978,20510.40234375,11297.928,8655.66,432.42026,20.418972,39.290768,215.2546,5082.658,5792.586,204.91356,18.744349,907.0813,127.59418,18.830812,1277.1642,60.43874,,477.89932,1068.0139,342.6134,144.3267,27.967913,474.97903,,78.83949,613.8905,4228.1777,,,187.9633,,,,,3790.024,102.76112,12.0847,0.85638195,1.2731432,4.39686,2.6011553,5.1575828,8.97849,45.197346,,,10.922654,12.047604,4.599015,7.452911,84.1039,1.7994518,13.147163,6.327193,,1.2296693,143.39384,2.2010868,221.01028,,5.136218,5.320686,0.7052442,10.0290365,4.519587,766.2553,11.323042,6.760482,319.52252,125.75548,27.720201,36.03743,40.40891,34.826313,23.205673,860.8642,1696.5386,1712.0804,115.476875,14.890764,189.79271,30.363953,14.710869,1.8814251,2.3810115,25.708351,15.781307,5.714813,262.98227,732.3823,12.638534,294.71902,75.733,3.4095588,52.44847,5.989768,4.8991046,17.628704,195.88577,53.577698,74.639725,2.4844716,794.05383,,8924.577,,6524.9683
1979,21103.17578125,11576.591,8952.107,449.60574,21.66427,39.372433,221.30402,5130.9565,5865.435,212.08464,19.176807,929.26855,141.73396,16.88787,1319.1519,64.0222,,484.664,1116.1836,358.54242,154.51442,29.967522,484.35864,,81.411476,653.33624,4392.0034,,,192.72012,,,,,3885.3186,102.185196,12.460621,0.86718655,1.4277114,5.6714225,3.27626,4.869281,9.565274,49.337868,,,11.132707,11.867907,4.330167,7.4829545,86.17702,1.8767926,14.047919,6.2613473,,1.2850437,182.63135,2.3966746,227.48761,,5.2562017,5.489918,0.78849334,11.58733,4.7340174,824.27704,11.988053,7.4106164,340.96515,132.76028,33.499756,38.272243,42.15602,36.894615,24.021255,918.7547,1726.9575,1741.4164,123.91906,14.707266,198.63614,30.341764,15.620055,1.8337747,2.3451457,28.202112,23.948555,6.183063,290.237,788.5431,13.2518425,224.02988,96.96391,3.51149,59.779125,6.4868393,5.249959,17.590689,238.0952,51.524734,74.625946,2.6879008,793.79755,,9122.558,,6653.978
1980,20800.193359375,11236.687,8997.717,455.01447,22.55522,40.93591,251.23738,4923.7847,5695.786,221.24284,19.023024,881.8609,146.6336,17.025673,1285.786,63.963333,,464.79007,1065.1821,360.02316,146.74196,28.882248,486.90234,,74.42243,594.8851,4255.1143,,,191.85378,,,,,3995.4832,97.51391,12.26326,0.8912659,1.5045795,7.013227,3.8267078,4.6675034,9.666236,55.743263,,,11.21543,11.011693,4.3633003,7.8974423,80.162735,2.0018768,14.399834,6.7384377,,1.4066718,165.14781,2.4869316,239.48181,,5.841943,5.5816236,0.75055015,12.095187,4.8303065,820.18494,13.078819,7.976067,359.90927,143.13586,35.005547,40.32954,39.52389,38.420208,24.824942,969.54175,1695.8386,1710.6182,121.64389,14.410736,196.65594,31.127703,16.360325,1.9712231,2.371406,29.264767,20.384659,5.594555,281.34573,772.72766,13.069395,156.8056,81.129,4.3633547,46.52208,6.8522925,5.5716176,14.596808,268.67322,52.53365,75.504425,3.5399013,729.1613,,8745.54,,6468.5137
1981,20391.78515625,10970.73,8881.427,434.04572,22.537807,41.24375,279.7022,4855.1655,5634.8105,223.9629,19.815994,857.75165,153.64629,16.835453,1272.0123,53.891033,,416.4153,1032.6426,350.55234,144.55457,26.564053,447.4472,,67.53524,578.7761,4063.9077,,,193.32106,,,,,3997.1165,91.646904,11.662807,0.8163603,1.7921919,8.070453,4.4221487,4.378035,10.142042,62.511723,0.18944208,,11.600943,10.723783,4.913798,7.9122505,58.09165,1.8597577,14.597181,6.4494486,,1.5230427,122.05579,2.4507606,252.81377,,5.811168,5.686829,0.7586423,13.359646,4.766452,771.7319,12.952327,5.8652687,392.3368,148.5694,35.16722,42.96106,38.059223,37.480278,25.63951,1004.50287,1689.8728,1705.7233,117.30034,14.595055,185.42172,31.035784,17.77931,2.0376322,2.34766,29.480104,20.405838,5.353202,276.0189,751.02405,12.592002,153.51463,44.141357,5.315569,39.93582,6.5354514,6.3859525,17.371778,243.7202,55.807487,62.446564,3.561223,651.32806,,8525.349,,6385.8345
